Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;Ilość;Dostępne do zamówienia (0 = Nie, 1 = Tak);Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...)
1;HP ProBook 465 G11 Ryzen 5-7535U/16GB/512/Win11;Gaming i streaming/Komputery do gier;2689.00;1;8;1;1;http://localhost/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_1.jpg,http://localhost/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_2.jpg
1;SMX Battlestation M3A i5-12400F/32GB/1TB/RTX5060Ti;Gaming i streaming/Komputery do gier;4800.00;1;9;1;1;http://localhost/import-images/smx-battlestation-m3a-i5-12400f-32gb-1tb-rtx5060ti/1362861_1.jpg,http://localhost/import-images/smx-battlestation-m3a-i5-12400f-32gb-1tb-rtx5060ti/1362861_2.jpg
1;SMX Battlestation M6A R7-9800X3D/32GB/1TB/RTX5080/W11x;Gaming i streaming/Komputery do gier;12700.00;1;5;1;1;http://localhost/import-images/smx-battlestation-m6a-r7-9800x3d-32gb-1tb-rtx5080-w11x/1469284_1.jpg,http://localhost/import-images/smx-battlestation-m6a-r7-9800x3d-32gb-1tb-rtx5080-w11x/1469284_2.jpg
1;SMX Battlestation M5A i5-12400F/32GB/1TB/RTX5060Ti/W11x;Gaming i streaming/Komputery do gier;5450.00;1;8;1;1;http://localhost/import-images/smx-battlestation-m5a-i5-12400f-32gb-1tb-rtx5060ti-w11x/1362855_1.jpg,http://localhost/import-images/smx-battlestation-m5a-i5-12400f-32gb-1tb-rtx5060ti-w11x/1362855_2.jpg
1;G4M3R ELITE R7-9800X3D/128GB/4TB/RTX5090/W11x;Gaming i streaming/Komputery do gier;23500.00;1;1;1;1;http://localhost/import-images/g4m3r-elite-r7-9800x3d-128gb-4tb-rtx5090-w11x/1361261_1.jpg,http://localhost/import-images/g4m3r-elite-r7-9800x3d-128gb-4tb-rtx5090-w11x/1361261_2.jpg
1;G4M3R ELITE Core Ultra 9 285K/64GB/2TB/RTX5080/W11x;Gaming i streaming/Komputery do gier;15700.00;1;5;1;1;http://localhost/import-images/g4m3r-elite-core-ultra-9-285k-64gb-2tb-rtx5080-w11x/1310814_1.jpg
1;G4M3R HERO R7-7800X3D/32GB/1TB/RTX5060/W11x;Gaming i streaming/Komputery do gier;7500.00;1;7;1;1;http://localhost/import-images/g4m3r-hero-r7-7800x3d-32gb-1tb-rtx5060-w11x/1329334_1.jpg,http://localhost/import-images/g4m3r-hero-r7-7800x3d-32gb-1tb-rtx5060-w11x/1329334_2.jpg
1;G4M3R ELITE Core Ultra 9 285K/32GB/2TB/RTX5090/W11x;Gaming i streaming/Komputery do gier;19500.00;1;6;1;1;http://localhost/import-images/g4m3r-elite-core-ultra-9-285k-32gb-2tb-rtx5090-w11x/1469269_1.jpg,http://localhost/import-images/g4m3r-elite-r7-9800x3d-128gb-4tb-rtx5090-w11x/1361261_2.jpg
1;SMX Battlestation M4B R5-7600/32GB/1TB/RTX5050/W11X;Gaming i streaming/Komputery do gier;5450.00;1;1;1;1;http://localhost/import-images/smx-battlestation-m4b-r5-7600-32gb-1tb-rtx5050-w11x/1417801_1.jpg,http://localhost/import-images/smx-battlestation-m4b-r5-7600-32gb-1tb-rtx5050-w11x/1417801_2.jpg
1;SMX Battlestation M5A R5-7600/32GB/1TB/RTX5070;Gaming i streaming/Komputery do gier;6400.00;1;1;1;1;http://localhost/import-images/smx-battlestation-m5a-i5-12400f-32gb-1tb-rtx5060ti-w11x/1362855_1.jpg,http://localhost/import-images/smx-battlestation-m5a-i5-12400f-32gb-1tb-rtx5060ti-w11x/1362855_2.jpg
