Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;Ilość;Dostępne do zamówienia (0 = Nie, 1 = Tak);Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...)
1;HP ProBook 465 G11 Ryzen 5-7535U/16GB/512/Win11;TV i audio/Soundbary;2689.00;1;5;1;1;http://localhost/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_1.jpg,http://localhost/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_2.jpg
1;Mozos THEATER 2.1 Soundbar;TV i audio/Soundbary;349.00;1;8;1;1;http://localhost/import-images/mozos-theater-21-soundbar/1143662_1.jpg,http://localhost/import-images/mozos-theater-21-soundbar/1143662_2.jpg
1;Mozos GS-BAR 2.1 SOUNDBAR KINO DOMOWE;TV i audio/Soundbary;459.00;1;7;1;1;http://localhost/import-images/mozos-gs-bar-21-soundbar-kino-domowe/1210296_1.jpg,http://localhost/import-images/mozos-gs-bar-21-soundbar-kino-domowe/1210296_2.jpg
1;Sennheiser AMBEO Soundbar Max;TV i audio/Soundbary;8599.00;1;8;1;1;http://localhost/import-images/sennheiser-ambeo-soundbar-max/508086_1.jpg,http://localhost/import-images/sennheiser-ambeo-soundbar-max/508086_2.jpg
1;Sennheiser AMBEO Soundbar Plus;TV i audio/Soundbary;4199.00;1;9;1;1;http://localhost/import-images/sennheiser-ambeo-soundbar-plus/1075226_1.jpg,http://localhost/import-images/sennheiser-ambeo-soundbar-plus/1075226_2.jpg
1;Sennheiser AMBEO Soundbar Mini;TV i audio/Soundbary;2399.00;1;9;1;1;http://localhost/import-images/sennheiser-ambeo-soundbar-mini/1179951_1.jpg,http://localhost/import-images/sennheiser-ambeo-soundbar-mini/1179951_2.jpg
1;Sennheiser AMBEO Soundbar Plus + AMBEO Sub;TV i audio/Soundbary;6299.00;1;1;1;1;http://localhost/import-images/sennheiser-ambeo-soundbar-plus-ambeo-sub/1289027_1.jpg,http://localhost/import-images/sennheiser-ambeo-soundbar-plus/1075226_1.jpg
1;AKAI ASB-20CSW;TV i audio/Soundbary;449.00;1;6;1;1;http://localhost/import-images/akai-asb-20csw/1260495_1.jpg,http://localhost/import-images/akai-asb-20csw/1260495_2.jpg
1;Thomson Soundbar COSY i Subwoofer Bluetooth 400 W;TV i audio/Soundbary;599.00;1;10;1;1;http://localhost/import-images/thomson-soundbar-cosy-i-subwoofer-bluetooth-400-w/1275202_1.jpg,http://localhost/import-images/thomson-soundbar-cosy-i-subwoofer-bluetooth-400-w/1275202_2.jpg
1;LG S90TY;TV i audio/Soundbary;2699.00;1;1;1;1;http://localhost/import-images/lg-s90ty/1271240_1.jpg,http://localhost/import-images/lg-s90ty/1271240_2.jpg
1;AKAI ASB-29;TV i audio/Soundbary;469.00;1;9;1;1;http://localhost/import-images/akai-asb-29/1267741_1.jpg,http://localhost/import-images/akai-asb-29/1267741_2.jpg
1;Sonos Arc Ultra Biały;TV i audio/Soundbary;3399.00;1;6;1;1;http://localhost/import-images/sonos-arc-ultra-biały/1288393_1.jpg,http://localhost/import-images/sonos-arc-ultra-biały/1288393_2.jpg
1;Samsung HW-Q930F;TV i audio/Soundbary;3999.00;1;5;1;1;http://localhost/import-images/samsung-hw-q930f/1332933_1.jpg
1;Sonos Ray Czarny;TV i audio/Soundbary;799.00;1;2;1;1;http://localhost/import-images/sonos-ray-czarny/748891_1.jpg
1;Sonos Ray Biały;TV i audio/Soundbary;799.00;1;10;1;1;http://localhost/import-images/sonos-ray-biały/748894_1.jpg
1;Sennheiser AMBEO Soundbar Max + AMBEO Sub;TV i audio/Soundbary;9999.00;1;6;1;1;http://localhost/import-images/sennheiser-ambeo-soundbar-max-ambeo-sub/1289021_1.jpg,http://localhost/import-images/sennheiser-ambeo-soundbar-max/508086_1.jpg
1;Mozos CINEMA 2.1;TV i audio/Soundbary;499.00;1;7;1;1;http://localhost/import-images/mozos-cinema-21/1095768_1.jpg,http://localhost/import-images/mozos-cinema-21/1095768_2.jpg
1;Polk Audio MAGNIFI MINI 2.1 czarny;TV i audio/Soundbary;999.00;1;9;1;1;http://localhost/import-images/polk-audio-magnifi-mini-21-czarny/409991_1.jpg,http://localhost/import-images/polk-audio-magnifi-mini-21-czarny/409991_2.jpg
1;Denon DHT-S216 Czarny;TV i audio/Soundbary;759.00;1;8;1;1;http://localhost/import-images/denon-dht-s216-czarny/547498_1.jpg,http://localhost/import-images/denon-dht-s216-czarny/547498_2.jpg
1;Redragon GS560 Adiemus;TV i audio/Soundbary;98.99;1;4;1;1;http://localhost/import-images/redragon-gs560-adiemus/663467_1.jpg,http://localhost/import-images/redragon-gs560-adiemus/663467_2.jpg
1;Samsung HW-B650D;TV i audio/Soundbary;789.00;1;3;1;1;http://localhost/import-images/samsung-hw-b650d/1270260_1.jpg,http://localhost/import-images/samsung-hw-b650d/1270260_2.jpg
1;Denon DHT-S517 Czarny;TV i audio/Soundbary;999.00;1;4;1;1;http://localhost/import-images/denon-dht-s517-czarny/716099_1.jpg,http://localhost/import-images/denon-dht-s517-czarny/716099_2.jpg
1;Klipsch Surround 3;TV i audio/Soundbary;1299.00;1;4;1;1;http://localhost/import-images/klipsch-surround-3/687776_1.jpg,http://localhost/import-images/klipsch-surround-3/687776_2.jpg
1;Bang & Olufsen Soundbar Beosound Stage Gold Tone;TV i audio/Soundbary;6197.00;1;4;1;1;http://localhost/import-images/bang-olufsen-soundbar-beosound-stage-gold-tone/718004_1.jpg,http://localhost/import-images/bang-olufsen-soundbar-beosound-stage-gold-tone/718004_2.jpg
1;Denon DHT-S217 Czarny;TV i audio/Soundbary;999.00;1;2;1;1;http://localhost/import-images/denon-dht-s217-czarny/1042150_1.jpg,http://localhost/import-images/denon-dht-s217-czarny/1042150_2.jpg
1;Sonos Beam Gen 2 Czarny;TV i audio/Soundbary;1599.00;1;10;1;1;http://localhost/import-images/sonos-beam-gen-2-czarny/683881_1.jpg,http://localhost/import-images/sonos-beam-gen-2-czarny/683881_2.jpg
1;Hisense HS-2100;TV i audio/Soundbary;399.00;1;2;1;1;http://localhost/import-images/hisense-hs-2100/1228161_1.jpg,http://localhost/import-images/hisense-hs-2100/1228161_2.jpg
1;Denon DHT-S218 Czarny;TV i audio/Soundbary;849.00;1;2;1;1;http://localhost/import-images/denon-dht-s218-czarny/1238258_1.jpg,http://localhost/import-images/denon-dht-s218-czarny/1238258_2.jpg
1;Sonos Arc Ultra Czarny;TV i audio/Soundbary;3399.00;1;1;1;1;http://localhost/import-images/sonos-arc-ultra-czarny/1288394_1.jpg,http://localhost/import-images/sonos-arc-ultra-czarny/1288394_2.jpg
1;Samsung HW-Q800D;TV i audio/Soundbary;2299.00;1;4;1;1;http://localhost/import-images/samsung-hw-q800d/1270277_1.jpg,http://localhost/import-images/samsung-hw-q800d/1270277_2.jpg
1;Polk Audio Magnifi Mini AX;TV i audio/Soundbary;1799.00;1;1;1;1;http://localhost/import-images/polk-audio-magnifi-mini-ax/742744_1.jpg,http://localhost/import-images/polk-audio-magnifi-mini-ax/742744_2.jpg
1;LG SC9S;TV i audio/Soundbary;2999.00;1;3;1;1;http://localhost/import-images/lg-sc9s/1109684_1.jpg,http://localhost/import-images/lg-sc9s/1109684_2.jpg
1;Sharp CP-AWS0101 AQUOS Wireless Surround Aktywny Bezprzewodowy 45W;TV i audio/Soundbary;399.00;1;10;1;1;http://localhost/import-images/sharp-cp-aws0101-aquos-wireless-surround-aktywny-bezprzewodowy-45w/1228673_1.jpg,http://localhost/import-images/sharp-cp-aws0101-aquos-wireless-surround-aktywny-bezprzewodowy-45w/1228673_2.jpg
1;LG SG10TY;TV i audio/Soundbary;3599.00;1;2;1;1;http://localhost/import-images/lg-sg10ty/1244497_1.jpg,http://localhost/import-images/lg-sg10ty/1244497_2.jpg
1;Sony BRAVIA Theatre Bar 9;TV i audio/Soundbary;3999.00;1;3;1;1;http://localhost/import-images/sony-bravia-theatre-bar-9/1256771_1.jpg,http://localhost/import-images/sony-bravia-theatre-bar-9/1256771_2.jpg
1;Klipsch Flexus XSURR 100 EUA;TV i audio/Soundbary;1099.00;1;7;1;1;http://localhost/import-images/klipsch-flexus-xsurr-100-eua/1289052_1.jpg,http://localhost/import-images/klipsch-flexus-xsurr-100-eua/1289052_2.jpg
1;Thomson Soundbar MINI i Subwoofer Bluetooth 120W;TV i audio/Soundbary;399.00;1;6;1;1;http://localhost/import-images/thomson-soundbar-mini-i-subwoofer-bluetooth-120w/1275198_1.jpg,http://localhost/import-images/thomson-soundbar-mini-i-subwoofer-bluetooth-120w/1275198_2.jpg
1;Thomson COSY Bluetooth 200W Czarny;TV i audio/Soundbary;439.00;1;7;1;1;http://localhost/import-images/thomson-cosy-bluetooth-200w-czarny/1275201_1.jpg,http://localhost/import-images/thomson-cosy-bluetooth-200w-czarny/1275201_2.jpg
1;AIWA HE-1200SW;TV i audio/Soundbary;699.00;1;7;1;1;http://localhost/import-images/aiwa-he-1200sw/1267743_1.jpg,http://localhost/import-images/aiwa-he-1200sw/1267743_2.jpg
1;LG S60TR Czarny 5.1-kanałowy, Bezprzewodowy Subwoofer, HDMI;TV i audio/Soundbary;1699.00;1;9;1;1;http://localhost/import-images/lg-s60tr-czarny-51-kanałowy-bezprzewodowy-subwoofer-hdmi/1271241_1.jpg,http://localhost/import-images/lg-s60tr-czarny-51-kanałowy-bezprzewodowy-subwoofer-hdmi/1271241_2.jpg
1;Klipsch FLEXUS CORE 100;TV i audio/Soundbary;1369.00;1;0;1;1;http://localhost/import-images/klipsch-flexus-core-100/1289049_1.jpg,http://localhost/import-images/klipsch-flexus-core-100/1289049_2.jpg
1;Samsung HW-Q990D;TV i audio/Soundbary;4399.00;1;9;1;1;http://localhost/import-images/samsung-hw-q990d/1270281_1.jpg,http://localhost/import-images/samsung-hw-q990d/1270281_2.jpg
1;Thronmax THX90 Soundbar;TV i audio/Soundbary;249.00;1;9;1;1;http://localhost/import-images/thronmax-thx90-soundbar/1281113_1.jpg,http://localhost/import-images/thronmax-thx90-soundbar/1281113_2.jpg
1;Thronmax THX100 Soundbar;TV i audio/Soundbary;299.00;1;4;1;1;http://localhost/import-images/thronmax-thx100-soundbar/1281114_1.jpg,http://localhost/import-images/thronmax-thx100-soundbar/1281114_2.jpg
1;Samsung HW-Q990F;TV i audio/Soundbary;4499.00;1;5;1;1;http://localhost/import-images/samsung-hw-q990f/1332934_1.jpg,http://localhost/import-images/samsung-hw-q990f/1332934_2.jpg
1;TCL TCL Q85HE 7.1.4 Wi-Fi Bluetooth AirPlay Dolby Atmos DTS X;TV i audio/Soundbary;2999.00;1;4;1;1;http://localhost/import-images/tcl-tcl-q85he-714-wi-fi-bluetooth-airplay-dolby-atmos-dts-x/1323497_1.jpg,http://localhost/import-images/tcl-tcl-q85he-714-wi-fi-bluetooth-airplay-dolby-atmos-dts-x/1323497_2.jpg
1;TCL TCL Q75HE 5.1.2 Wi-Fi Bluetooth AirPlay Dolby Atmos DTS X;TV i audio/Soundbary;2299.00;1;2;1;1;http://localhost/import-images/tcl-tcl-q75he-512-wi-fi-bluetooth-airplay-dolby-atmos-dts-x/1323499_1.jpg,http://localhost/import-images/tcl-tcl-q75he-512-wi-fi-bluetooth-airplay-dolby-atmos-dts-x/1323499_2.jpg
1;Samsung HW-B650F;TV i audio/Soundbary;1099.00;1;2;1;1;http://localhost/import-images/samsung-hw-b650f/1332929_1.jpg
1;Samsung HW-Q600F;TV i audio/Soundbary;1299.00;1;6;1;1;http://localhost/import-images/samsung-hw-q600f/1332931_1.jpg,http://localhost/import-images/samsung-hw-q600f/1332931_2.jpg
1;Samsung HW-QS700F;TV i audio/Soundbary;2195.00;1;8;1;1;http://localhost/import-images/samsung-hw-qs700f/1332935_1.jpg,http://localhost/import-images/samsung-hw-qs700f/1332935_2.jpg
1;Hisense AX-5100G;TV i audio/Soundbary;999.00;1;10;1;1;http://localhost/import-images/hisense-ax-5100g/1334055_1.jpg,http://localhost/import-images/hisense-ax-5100g/1334055_2.jpg
1;TCL TCL S55HE 2.1 Bluetooth Dolby Atmos;TV i audio/Soundbary;796.00;1;2;1;1;http://localhost/import-images/tcl-tcl-s55he-21-bluetooth-dolby-atmos/1323500_1.jpg,http://localhost/import-images/tcl-tcl-s55he-21-bluetooth-dolby-atmos/1323500_2.jpg
1;Samsung HW-Q800F;TV i audio/Soundbary;2499.00;1;0;1;1;http://localhost/import-images/samsung-hw-q800f/1332932_1.jpg,http://localhost/import-images/samsung-hw-q800f/1332932_2.jpg
1;Thomson COSY Bluetooth 200W Biały;TV i audio/Soundbary;439.00;1;8;1;1;http://localhost/import-images/thomson-cosy-bluetooth-200w-biały/1350710_1.jpg,http://localhost/import-images/thomson-cosy-bluetooth-200w-biały/1350710_2.jpg
1;Samsung HW-B450F;TV i audio/Soundbary;799.00;1;9;1;1;http://localhost/import-images/samsung-hw-b450f/1332928_1.jpg
1;Hisense AX3120Q;TV i audio/Soundbary;1349.00;1;5;1;1;http://localhost/import-images/hisense-ax3120q/1356523_1.jpg,http://localhost/import-images/hisense-ax3120q/1356523_2.jpg
1;JBL BAR 300 MKII;TV i audio/Soundbary;1699.00;1;6;1;1;http://localhost/import-images/jbl-bar-300-mkii/1372496_1.jpg,http://localhost/import-images/jbl-bar-300-mkii/1372496_2.jpg
1;Hisense AX-5100Q;TV i audio/Soundbary;1399.00;1;3;1;1;http://localhost/import-images/hisense-ax-5100q/1367724_1.jpg,http://localhost/import-images/hisense-ax-5100q/1367724_2.jpg
1;Sony HT-S400;TV i audio/Soundbary;949.00;1;9;1;1;http://localhost/import-images/sony-ht-s400/745679_1.jpg,http://localhost/import-images/sony-ht-s400/745679_2.jpg
1;Sony HT-SF150 czarny;TV i audio/Soundbary;599.00;1;10;1;1;http://localhost/import-images/sony-ht-sf150-czarny/421608_1.jpg,http://localhost/import-images/sony-ht-sf150-czarny/421608_2.jpg
1;Sony BRAVIA Theatre Bar 6 HTB600;TV i audio/Soundbary;1499.00;1;1;1;1;http://localhost/import-images/sony-bravia-theatre-bar-6-htb600/1327940_1.jpg,http://localhost/import-images/sony-bravia-theatre-bar-6-htb600/1327940_2.jpg
