Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;Ilość;Dostępne do zamówienia (0 = Nie, 1 = Tak);Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...)
1;HP ProBook 465 G11 Ryzen 5-7535U/16GB/512/Win11;Gaming i streaming/Laptopy do gier;2689.00;1;7;1;1;http://localhost/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_1.jpg,http://localhost/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_2.jpg
1;HP OMEN 16 Ryzen 9-8940HX/64GB/2TB RTX5060 144Hz;Gaming i streaming/Laptopy do gier;7949.00;1;10;1;1;http://localhost/import-images/hp-omen-16-ryzen-9-8940hx-64gb-2tb-rtx5060-144hz/1454709_1.jpg,http://localhost/import-images/hp-omen-16-ryzen-9-8940hx-64gb-2tb-rtx5060-144hz/1454709_2.jpg
1;HP OMEN 16 Ryzen 9-8940HX/16GB/1TB/Win11X RTX5060 144Hz;Gaming i streaming/Laptopy do gier;6199.00;1;3;1;1;http://localhost/import-images/hp-omen-16-ryzen-9-8940hx-16gb-1tb-win11x-rtx5060-144hz/1454710_1.jpg,http://localhost/import-images/hp-omen-16-ryzen-9-8940hx-64gb-2tb-rtx5060-144hz/1454709_2.jpg
1;HP OMEN 16 Ryzen 9-8940HX/32GB/1TB/Win11X RTX5060 144Hz;Gaming i streaming/Laptopy do gier;6749.00;1;6;1;1;http://localhost/import-images/hp-omen-16-ryzen-9-8940hx-16gb-1tb-win11x-rtx5060-144hz/1454710_1.jpg,http://localhost/import-images/hp-omen-16-ryzen-9-8940hx-64gb-2tb-rtx5060-144hz/1454709_2.jpg
1;HP OMEN 16 Ryzen 9-8940HX/64GB/1TB/Win11X RTX5060 144Hz;Gaming i streaming/Laptopy do gier;7999.00;1;9;1;1;http://localhost/import-images/hp-omen-16-ryzen-9-8940hx-16gb-1tb-win11x-rtx5060-144hz/1454710_1.jpg,http://localhost/import-images/hp-omen-16-ryzen-9-8940hx-64gb-2tb-rtx5060-144hz/1454709_2.jpg
1;HP OMEN 16 Ryzen 9-8940HX/32GB/2TB/Win11X RTX5060 144Hz;Gaming i streaming/Laptopy do gier;7299.00;1;6;1;1;http://localhost/import-images/hp-omen-16-ryzen-9-8940hx-16gb-1tb-win11x-rtx5060-144hz/1454710_1.jpg,http://localhost/import-images/hp-omen-16-ryzen-9-8940hx-64gb-2tb-rtx5060-144hz/1454709_2.jpg
1;HP OMEN 16 Ryzen 9-8940HX/64GB/2TB/Win11X RTX5060 144Hz;Gaming i streaming/Laptopy do gier;8449.00;1;9;1;1;http://localhost/import-images/hp-omen-16-ryzen-9-8940hx-16gb-1tb-win11x-rtx5060-144hz/1454710_1.jpg,http://localhost/import-images/hp-omen-16-ryzen-9-8940hx-64gb-2tb-rtx5060-144hz/1454709_2.jpg
1;MSI Katana 15 HX i7-14650HX/32GB/1TB/Win11X RTX5070;Gaming i streaming/Laptopy do gier;7299.00;1;5;1;1;http://localhost/import-images/msi-katana-15-hx-i7-14650hx-32gb-1tb-win11x-rtx5070/1349988_1.jpg,http://localhost/import-images/msi-katana-15-hx-i7-14650hx-32gb-1tb-win11x-rtx5070/1349988_2.jpg
1;Gigabyte GAMING A16 Ryzen 7 260/64GB/512/W11PX RTX5050 165Hz;Gaming i streaming/Laptopy do gier;5399.00;1;5;1;1;http://localhost/import-images/gigabyte-gaming-a16-ryzen-7-260-64gb-512-w11px-rtx5050-165hz/1418107_1.jpg,http://localhost/import-images/gigabyte-gaming-a16-ryzen-7-260-64gb-512-w11px-rtx5050-165hz/1418107_2.jpg
1;Gigabyte GAMING A18 Ryzen 7 260/32GB/1TB+1TB/W11PX RTX5060 165Hz;Gaming i streaming/Laptopy do gier;6599.00;1;4;1;1;http://localhost/import-images/gigabyte-gaming-a18-ryzen-7-260-32gb-1tb1tb-w11px-rtx5060-165hz/1418092_1.jpg,http://localhost/import-images/gigabyte-gaming-a18-ryzen-7-260-32gb-1tb1tb-w11px-rtx5060-165hz/1418092_2.jpg
1;Gigabyte GAMING A18 Ryzen 7 260/64GB/1TB+1TB/W11PX RTX5060 165Hz;Gaming i streaming/Laptopy do gier;7649.00;1;1;1;1;http://localhost/import-images/gigabyte-gaming-a18-ryzen-7-260-32gb-1tb1tb-w11px-rtx5060-165hz/1418092_1.jpg,http://localhost/import-images/gigabyte-gaming-a18-ryzen-7-260-32gb-1tb1tb-w11px-rtx5060-165hz/1418092_2.jpg
1;HP VICTUS 15 Ryzen 7-7445HS/32GB/2TB RTX4050;Gaming i streaming/Laptopy do gier;4449.00;1;1;1;1;http://localhost/import-images/hp-victus-15-ryzen-7-7445hs-32gb-2tb-rtx4050/1349327_1.jpg,http://localhost/import-images/hp-victus-15-ryzen-7-7445hs-32gb-2tb-rtx4050/1349327_2.jpg
