Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;Ilość;Dostępne do zamówienia (0 = Nie, 1 = Tak);Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...)
1;Apple iPad Mini 7gen 128GB Wi-Fi Niebieski;Smartfony i smartwatche/Tablety;2399.00;1;9;1;1;http://localhost/import-images/apple-ipad-mini-7gen-256gb-wi-fi-niebieski/1288372_1.jpg,http://localhost/import-images/apple-ipad-mini-7gen-256gb-wi-fi-niebieski/1288372_2.jpg
1;Apple iPad Mini 7gen 256GB 5G Niebieski;Smartfony i smartwatche/Tablety;3499.00;1;3;1;1;http://localhost/import-images/apple-ipad-mini-7gen-256gb-5g-niebieski/1288382_1.jpg,http://localhost/import-images/apple-ipad-mini-7gen-256gb-5g-niebieski/1288382_2.jpg
1;"TCL NXTPAPER 14 WiFi 14,3"" 8/256GB szary + etui + rysik";Smartfony i smartwatche/Tablety;1599.00;1;7;1;1;http://localhost/import-images/tcl-nxtpaper-14-wifi-143-8-256gb-szary-etui-rysik/1280547_1.jpg,http://localhost/import-images/tcl-nxtpaper-14-wifi-143-8-256gb-szary-etui-rysik/1280547_2.jpg
1;"OUKITEL RT8 LTE 11"" 6/256GB 20000mAh Black Rugged 90Hz";Smartfony i smartwatche/Tablety;1349.00;1;8;1;1;http://localhost/import-images/oukitel-rt8-lte-11-6-256gb-20000mah-black-rugged-90hz/1316574_1.jpg,http://localhost/import-images/oukitel-rt8-lte-11-6-256gb-20000mah-orange-rugged-90hz/1316575_2.jpg
1;OnePlus Pad 3 WiFi 16/512GB Storm Blue 144Hz + Rysik;Smartfony i smartwatche/Tablety;3199.00;1;10;1;1;http://localhost/import-images/oneplus-pad-3-wifi-16-512gb-storm-blue-144hz-rysik/1340386_1.jpg,http://localhost/import-images/oneplus-pad-3-wifi-16-512gb-storm-blue-144hz-rysik/1340386_2.jpg
1;OnePlus Pad 3 WiFi 12/256GB Storm Blue 144Hz + Rysik;Smartfony i smartwatche/Tablety;2799.00;1;8;1;1;http://localhost/import-images/oneplus-pad-3-wifi-16-512gb-storm-blue-144hz-rysik/1340386_1.jpg,http://localhost/import-images/oneplus-pad-3-wifi-16-512gb-storm-blue-144hz-rysik/1340386_2.jpg
1;OnePlus Pad 3 WiFi 16/512GB Storm Blue 144Hz + Klawiatura + Rysik;Smartfony i smartwatche/Tablety;3699.00;1;1;1;1;http://localhost/import-images/oneplus-pad-3-wifi-16-512gb-storm-blue-144hz-klawiatura-rysik/1340387_1.jpg,http://localhost/import-images/oneplus-pad-3-wifi-16-512gb-storm-blue-144hz-klawiatura-rysik/1340387_2.jpg
1;OnePlus Pad 3 WiFi 12/256GB Storm Blue 144Hz + Klawiatura;Smartfony i smartwatche/Tablety;3099.00;1;3;1;1;http://localhost/import-images/oneplus-pad-3-wifi-12-256gb-storm-blue-144hz-klawiatura/1340384_1.jpg,http://localhost/import-images/oneplus-pad-3-wifi-16-512gb-storm-blue-144hz-rysik/1340386_2.jpg
1;"uleFone Armor Pad 2 LTE 11"" 8/256GB czarno-żółty";Smartfony i smartwatche/Tablety;1449.00;1;0;1;1;http://localhost/import-images/ulefone-armor-pad-2-lte-11-8-256gb-czarno-żółty/1340617_1.jpg,http://localhost/import-images/ulefone-armor-pad-2-lte-11-8-256gb-czarno-żółty/1340617_2.jpg
1;"Samsung Galaxy Tab S11 Ultra 14,6"" 16GB/1TB WiFi Szary";Smartfony i smartwatche/Tablety;7099.00;1;4;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-szary/1351878_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-szary/1351878_2.jpg
