Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;Ilość;Dostępne do zamówienia (0 = Nie, 1 = Tak);Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...)
1;HP ProBook 465 G11 Ryzen 5-7535U/16GB/512/Win11;TV i audio/Telewizory;2689.00;1;8;1;1;http://localhost/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_1.jpg,http://localhost/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_2.jpg
1;"Philips 40PFS6000 40"" LED Full HD Titan OS";TV i audio/Telewizory;899.00;1;9;1;1;http://localhost/import-images/philips-40pfs6000-40-led-full-hd-titan-os/1335597_1.jpg,http://localhost/import-images/philips-40pfs6000-40-led-full-hd-titan-os/1335597_2.jpg
1;"TCL 65P81K 65"" QLED 144 Hz 4K Google TV Dolby Atmos Vision";TV i audio/Telewizory;2999.00;1;8;1;1;http://localhost/import-images/tcl-65p81k-65-qled-144-hz-4k-google-tv-dolby-atmos-vision/1349758_1.jpg,http://localhost/import-images/tcl-65p81k-65-qled-144-hz-4k-google-tv-dolby-atmos-vision/1349758_2.jpg
1;"Philips 55OLED820 55"" OLED 4K 144 Hz Google TV Ambilight Dolby Atmos";TV i audio/Telewizory;4999.00;1;6;1;1;http://localhost/import-images/philips-55oled820-55-oled-4k-144-hz-google-tv-ambilight-dolby-atmos/1335606_1.jpg
1;"Samsung QE43Q8F 43"" QLED 4K Tizen TV DVB-T2";TV i audio/Telewizory;1999.00;1;6;1;1;http://localhost/import-images/samsung-qe43q8f-43-qled-4k-tizen-tv-dvb-t2/1331263_1.jpg,http://localhost/import-images/samsung-qe43q8f-43-qled-4k-tizen-tv-dvb-t2/1331263_2.jpg
1;"Hisense 55E7Q PRO 55"" QLED 144 Hz 4K Dolby Vison Atmos";TV i audio/Telewizory;2799.00;1;3;1;1;http://localhost/import-images/hisense-55e7q-pro-55-qled-144-hz-4k-dolby-vison-atmos/1338870_1.jpg
1;"TCL 75P81K 75"" QLED 144 Hz 4K Google TV Dolby Atmos Vision";TV i audio/Telewizory;3499.00;1;5;1;1;http://localhost/import-images/tcl-75p81k-75-qled-144-hz-4k-google-tv-dolby-atmos-vision/1348799_1.jpg,http://localhost/import-images/tcl-75p81k-75-qled-144-hz-4k-google-tv-dolby-atmos-vision/1348799_2.jpg
1;"Philips 43PUS8118 43"" LED 4K Ambilight x3 Dolby Atmos Dolby Vision";TV i audio/Telewizory;1399.00;1;5;1;1;http://localhost/import-images/philips-43pus8118-43-led-4k-ambilight-x3-dolby-atmos-dolby-vision/1163489_1.jpg,http://localhost/import-images/philips-43pus8118-43-led-4k-ambilight-x3-dolby-atmos-dolby-vision/1163489_2.jpg
1;"Hisense 43E7Q 43"" QLED 4K  VIDAA Dolby Vision Atmos";TV i audio/Telewizory;1499.00;1;2;1;1;http://localhost/import-images/hisense-43e7q-43-qled-4k-vidaa-dolby-vision-atmos/1338875_1.jpg,http://localhost/import-images/hisense-43e7q-43-qled-4k-vidaa-dolby-vision-atmos/1338875_2.jpg
1;"Sony BRAVIA 3 K-43S3 43"" LED 4K Google TV Dolby Atmos";TV i audio/Telewizory;2498.00;1;7;1;1;http://localhost/import-images/sony-bravia-3-k-43s3-43-led-4k-google-tv-dolby-atmos/1332627_1.jpg,http://localhost/import-images/sony-bravia-3-k-43s3-43-led-4k-google-tv-dolby-atmos/1332627_2.jpg
