Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;Ilość;Dostępne do zamówienia (0 = Nie, 1 = Tak);Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...)
1;HP ProBook 465 G11 Ryzen 5-7535U/16GB/512/Win11;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;2689.00;1;4;1;1;http://localhost:8080/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_1.jpg,http://localhost:8080/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_2.jpg
1;Lenovo Yoga 7 2-in-1 Ryzen AI 7-350/16GB/512GB/Win11;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;5299.00;1;8;1;1;http://localhost:8080/import-images/lenovo-yoga-7-2-in-1-ryzen-ai-7-350-16gb-512gb-win11/1335193_1.jpg,http://localhost:8080/import-images/lenovo-yoga-7-2-in-1-ryzen-ai-7-350-16gb-512gb-win11/1335193_2.jpg
1;Acer Aspire Lite 16 i5-1334U/16GB/512/Win11;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;2149.00;1;7;1;1;http://localhost:8080/import-images/acer-aspire-lite-16-i5-1334u-16gb-512-win11/1368954_1.jpg,http://localhost:8080/import-images/acer-aspire-lite-16-i5-1334u-16gb-512-win11/1368954_2.jpg
1;Lenovo Yoga 7 2-in-1 U5-226V/16GB/1TB/Win11;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;4699.00;1;7;1;1;http://localhost:8080/import-images/lenovo-yoga-7-2-in-1-u5-226v-16gb-1tb-win11/1335190_1.jpg,http://localhost:8080/import-images/lenovo-yoga-7-2-in-1-u5-226v-16gb-1tb-win11/1335190_2.jpg
1;Lenovo Yoga Slim 7-14 Ryzen AI 5-340/16GB/512/Win11 OLED;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;3749.00;1;7;1;1;http://localhost:8080/import-images/lenovo-yoga-slim-7-14-ryzen-ai-5-340-16gb-512-win11-oled/1368994_1.jpg,http://localhost:8080/import-images/lenovo-yoga-slim-7-14-ryzen-ai-5-340-16gb-512-win11-oled/1368994_2.jpg
1;Lenovo IdeaPad Slim 3-15 Ryzen 5-7533HS/24GB/512GB/Win11;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;2599.00;1;0;1;1;http://localhost:8080/import-images/lenovo-ideapad-slim-3-15-ryzen-5-7533hs-24gb-512gb-win11/1335186_1.jpg,http://localhost:8080/import-images/lenovo-ideapad-slim-3-15-ryzen-5-7533hs-24gb-512gb-win11/1335186_2.jpg
1;Acer Aspire Lite 16 i5-1334U/32GB/512/Win11;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;2849.00;1;3;1;1;http://localhost:8080/import-images/acer-aspire-lite-16-i5-1334u-16gb-512-win11/1368954_1.jpg,http://localhost:8080/import-images/acer-aspire-lite-16-i5-1334u-16gb-512-win11/1368954_2.jpg
1;HP OMEN 16 Ryzen 9-8940HX/64GB/1TB/Win11X RTX5060 144Hz;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;7999.00;1;1;1;1;http://localhost:8080/import-images/hp-omen-16-ryzen-9-8940hx-64gb-1tb-win11x-rtx5060-144hz/1454712_1.jpg,http://localhost:8080/import-images/hp-omen-16-ryzen-9-8940hx-64gb-1tb-win11x-rtx5060-144hz/1454712_2.jpg
1;HP OMEN 16 Ryzen 9-8940HX/32GB/2TB/Win11X RTX5060 144Hz;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;7299.00;1;7;1;1;http://localhost:8080/import-images/hp-omen-16-ryzen-9-8940hx-64gb-1tb-win11x-rtx5060-144hz/1454712_1.jpg,http://localhost:8080/import-images/hp-omen-16-ryzen-9-8940hx-64gb-1tb-win11x-rtx5060-144hz/1454712_2.jpg
1;Lenovo LOQ-15 Ryzen 7/32GB/1TB/Win11 RTX5050;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;5499.00;1;1;1;1;http://localhost:8080/import-images/lenovo-loq-15-ryzen-7-32gb-1tb-win11-rtx5050/1366536_1.jpg,http://localhost:8080/import-images/lenovo-loq-15-ryzen-7-32gb-1tb-win11-rtx5050/1366536_2.jpg
1;ASUS Vivobook 17 Core 5 120U/16GB/512/Win11;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;3099.00;1;3;1;1;http://localhost:8080/import-images/asus-vivobook-17-core-5-120u-16gb-512-win11/1354647_1.jpg,http://localhost:8080/import-images/asus-vivobook-17-core-5-120u-16gb-512-win11/1354647_2.jpg
1;Dell G15 5530 i5-13450HX/32GB/512+1TB/RTX3050 120Hz;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;3299.00;1;7;1;1;http://localhost:8080/import-images/dell-g15-5530-i5-13450hx-32gb-5121tb-rtx3050-120hz/1350166_1.jpg,http://localhost:8080/import-images/dell-g15-5530-i5-13450hx-32gb-5121tb-rtx3050-120hz/1350166_2.jpg
1;Gigabyte GAMING A16 i7-13620H/64GB/1TB+1TB/W11X RTX5060 165Hz;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;6899.00;1;7;1;1;http://localhost:8080/import-images/gigabyte-gaming-a16-i7-13620h-64gb-1tb1tb-w11x-rtx5060-165hz/1371742_1.jpg,http://localhost:8080/import-images/gigabyte-gaming-a16-i7-13620h-64gb-1tb1tb-w11x-rtx5060-165hz/1371742_2.jpg
1;Gigabyte GAMING A16 Ryzen 7 260/32GB/1TB+1TB/W11PX RTX5050 165Hz;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;5299.00;1;4;1;1;http://localhost:8080/import-images/gigabyte-gaming-a16-i7-13620h-64gb-1tb1tb-w11x-rtx5060-165hz/1371742_1.jpg,http://localhost:8080/import-images/gigabyte-gaming-a16-i7-13620h-64gb-1tb1tb-w11x-rtx5060-165hz/1371742_2.jpg
1;Lenovo ThinkPad E16 Ultra 5-225U/16GB/512/Win11P;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;5199.00;1;10;1;1;http://localhost:8080/import-images/lenovo-thinkpad-e16-ultra-5-225u-16gb-512-win11p/1353320_1.jpg,http://localhost:8080/import-images/lenovo-thinkpad-e16-ultra-5-225u-16gb-512-win11p/1353320_2.jpg
1;HP VICTUS 15 Ryzen 7-7445HS/32GB/1TB/Win11 RTX3050 144Hz;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;3999.00;1;2;1;1;http://localhost:8080/import-images/hp-victus-15-ryzen-7-7445hs-32gb-1tb-win11-rtx3050-144hz/1417436_1.jpg,http://localhost:8080/import-images/hp-victus-15-ryzen-7-7445hs-32gb-1tb-win11-rtx3050-144hz/1417436_2.jpg
1;Gigabyte GAMING A16 Ryzen 7 260/64GB/1TB RTX5050 165Hz;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;5499.00;1;5;1;1;http://localhost:8080/import-images/gigabyte-gaming-a16-ryzen-7-260-64gb-1tb-rtx5050-165hz/1418097_1.jpg,http://localhost:8080/import-images/gigabyte-gaming-a16-i7-13620h-64gb-1tb1tb-w11x-rtx5060-165hz/1371742_2.jpg
1;ASUS TUF Gaming F16 i5-210H/32GB/1TB RTX3050 144Hz;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;3249.00;1;3;1;1;http://localhost:8080/import-images/asus-tuf-gaming-f16-i5-210h-32gb-1tb-rtx3050-144hz/1356025_1.jpg,http://localhost:8080/import-images/asus-tuf-gaming-f16-i5-210h-32gb-1tb-rtx3050-144hz/1356025_2.jpg
1;Apple MacBook Pro M5/32GB/2TB/Mac OS Gwiezdna Czerń 10R GPU Nano;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;13749.00;1;4;1;1;http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_1.jpg,http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_2.jpg
1;Apple MacBook Pro M5/32GB/1TB/Mac OS Gwiezdna Czerń 10R GPU;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;11349.00;1;0;1;1;http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_1.jpg,http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_2.jpg
1;Apple MacBook Pro M5/32GB/4TB/Mac OS Gwiezdna Czerń 10R GPU Nano;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;16749.00;1;1;1;1;http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_1.jpg,http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_2.jpg
1;Apple MacBook Pro M5/16GB/512/Mac OS Gwiezdna Czerń 10R GPU Nano;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;8749.00;1;1;1;1;http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_1.jpg,http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_2.jpg
1;Apple MacBook Pro M5/24GB/512/Mac OS Gwiezdna Czerń 10R GPU;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;8999.00;1;5;1;1;http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_1.jpg,http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_2.jpg
1;Apple MacBook Pro M5/24GB/512/Mac OS Gwiezdna Czerń 10R GPU Nano;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;9749.00;1;1;1;1;http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_1.jpg,http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_2.jpg
1;Apple MacBook Pro M5/32GB/512/Mac OS Gwiezdna Czerń 10R GPU Nano;Laptopy i komputery/Laptopy-Notebooki-Ultrabooki;10749.00;1;10;1;1;http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_1.jpg,http://localhost:8080/import-images/apple-macbook-pro-m5-32gb-2tb-mac-os-gwiezdna-czerń-10r-gpu-nano/1370444_2.jpg
